event_id,substation_id,report_date,problem_en,event_description_en,possible_anomaly_start,possible_anomaly_end,training_start,training_end,efd_possible,fault_label,monitoring_potential,manufacturer
3,12,2015-12-01 10:56:00,no heat,Control parameters updated.,2015-11-29 12:00:00,2015-12-02 10:56:00,2015-03-01 00:00:00,2015-11-17 10:56:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
24,13,2016-07-20 15:17:00,noise,The pressure of the heating pump was reduced and switched to auto-adapt.,,2016-07-22 04:00:00,2015-03-18 15:00:00,2016-07-06 15:17:00,True,Failure of the heating circuit pump,3.8,manufacturer 1
53,13,2020-05-26 10:00:00,no DHW,"Circulation line was blocked, has been reopened.",2020-05-25 03:00:00,2020-05-27 18:42:13,2016-07-27 15:17:00,2020-05-12 10:00:00,True,Shut-off valve closed,2.8,manufacturer 1
29,17,2019-01-09 14:18:00,no heat,Motor control valve does not open.,,2019-01-12 15:20:31,2015-12-02 12:00:00,2018-12-26 14:18:00,True,Motorised control valve (primary side): Control valve jams when closed,3.2,manufacturer 1
49,18,2019-05-04 07:19:00,no DHW,The DHW controller was set to night mode. Reset to automatic.,2019-05-03 11:00:00,2019-05-05 07:19:00,2016-12-16 10:00:00,2019-04-20 07:19:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
37,19,2018-11-21 09:15:00,no heat,"Externally controlled, supply temperature limited to 55°C.",,2018-11-22 10:41:58,2016-06-25 00:00:00,2018-11-07 09:15:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
34,20,2017-06-07 07:34:00,other,Several warning messages keep appearing: ‘Alarm leak sensor’. Sensor is probably defective.,,2017-06-08 07:34:00,2015-09-21 14:00:00,2017-05-24 07:34:00,True,unknown,unknown,manufacturer 1
6,21,2016-12-06 13:12:00,not enough heat,The heaters are not getting warm enough. Supply temperature is 44°C at 9°C outdoor temperature. Heating curve increased.,,2016-12-07 13:12:00,2015-11-30 09:00:00,2016-11-22 13:12:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
32,21,2019-10-19 10:38:00,not enough heat,Flow temperature too low and increased to 55°C.,,2019-10-23 11:40:23,2017-10-19 10:38:00,2019-10-05 10:38:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
52,21,2016-12-12 15:55:00,no heat,"Optimization of controller parameters led to insufficient supply for heating. Control system reset. Air in circulation for DHW, vented.",2016-12-11 20:00:00,2016-12-13 15:55:00,2015-11-30 09:00:00,2016-11-28 15:55:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
62,21,2019-01-21 08:17:00,not enough heat,Only 40 °C heating supply. Heating curve increased. Controller now reaches 62 degrees supply.,,2019-01-22 00:10:43,2017-01-21 08:17:00,2019-01-07 08:17:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
13,24,2016-01-12 12:39:00,not enough heat,"Insufficient heat in the building system; heating circuit 1 shows no cooling and control limits primary side return temperature, probably short circuit in the connected object. Heating circuit 2 is not receiving sufficient volume flow. The pump output has therefore been increased.",,2016-01-13 12:39:00,2015-12-08 10:00:00,2015-12-29 12:39:00,True,Failure of the heating circuit pump,3.8,manufacturer 1
38,24,2016-10-24 13:55:00,not enough heat,Needle valve was set too tight and impuls line vented. Water flow normal again.,,2016-10-25 13:55:00,2015-11-20 00:00:00,2016-10-10 13:55:00,True,Incorrect setting of the differential pressure regulator,3.1,manufacturer 1
40,24,2016-04-07 07:47:00,leakage,Heating safety valve replaced.,2016-04-05 13:00:00,2016-04-08 07:47:00,2015-11-20 00:00:00,2016-03-24 07:47:00,True,"Safety relief valve: Water loss, does not close properly",2,manufacturer 1
7,26,2020-06-13 10:38:00,no DHW,The needle valve was closed. Readjusted.,2020-06-12 12:00:00,2020-06-14 10:38:00,2018-10-18 13:00:00,2020-05-30 10:38:00,True,Incorrect setting of the differential pressure regulator,3.1,manufacturer 1
69,26,2020-03-10 15:49:00,no heat,System checked electrically and mechanically. No defects found.,,2020-03-11 19:31:31,2018-10-18 13:00:00,,True,unknown,unknown,manufacturer 1
23,27,2020-01-20 12:57:00,not enough heat,Flow temperature too low and increased.,,2020-01-21 12:57:00,2019-11-25 00:00:00,2020-01-06 12:57:00,True,Control unit: Incorrect parameterisation,4,manufacturer 1
47,28,2020-01-13 10:55:00,no heat,Malfunction in the circulation pump. Heating failed. Pump was blocked and was replaced.,2020-01-08 23:00:00,2020-01-14 10:47:32,2019-10-25 00:00:00,2019-12-30 10:55:00,True,Failure of the heating circuit pump,3.8,manufacturer 1
15,29,2020-03-07 07:59:43,no heat,Secondary heating pump behind storage tank was set to maximum speed. Pump adjusted. Storage tank is being refilled.,2020-03-06 12:00:00,2020-03-08 07:59:43,2019-10-03 07:00:00,2020-02-22 07:59:43,True,Failure of the domestic hot water storage charging pump,3.7,manufacturer 1
10,30,2020-03-16 15:04:00,leakage,"Leakage at joint present. Seal replaced, system back in operation.",2020-03-12 19:00:00,2020-03-22 22:45:31,2019-12-01 00:00:00,2020-03-02 15:04:00,True,Leakage,1.75,manufacturer 1
45,31,2020-01-13 15:48:00,leakage,Leak in the heat exchanger. All four screw connections on the heat exchanger tightened.,,2020-01-14 17:57:05,2019-11-28 09:00:00,2019-12-30 15:48:00,True,"Heat exchanger: Leakage, external",2,manufacturer 1
33,4,2017-04-08 09:53:00,not enough heat,Pump settings readjusted.,,2017-04-09 09:53:00.000,,,False,Failure of the heating circuit pump,3.8,manufacturer 2
34,4,2017-04-07 09:03:00,no heat,System pressure adjusted.,,2017-04-09 09:53:00.000,,,False,unknown,unknown,manufacturer 2
35,4,2017-03-12 09:11:00,not enough heat,System pressure increased.,,2017-04-09 09:53:00.000,2016-05-01 00:00:00.000000,2017-02-26 09:11:00,True,unknown,unknown,manufacturer 2
37,4,2016-12-16 08:39:00,not enough heat,System pressure increased.,,2016-12-17 08:39:00.000,2016-05-01 00:00:00.000000,2016-12-02 08:39:00,True,unknown,unknown,manufacturer 2
41,4,2016-08-01 10:34:00,other,System pressure adjusted.,,2016-08-02 10:34:00.000,2016-05-01 00:00:00.000000,2016-07-18 10:34:00,True,Air in the piping system,2.1,manufacturer 2
5,8,2020-02-18 14:00:00,leakage,Flange in return line leaking.Gasket replaced.,,2020-02-19 16:55:43.000,2019-10-15 00:00:00.000000,2020-02-04 14:00:00,True,Leakage,1.75,manufacturer 2
25,10,2019-10-14 11:32:00,no heat,Pump pressure increased.,2019-09-19 12:00:00,2019-10-15 01:13:09.000,2015-10-13 12:39:00.873934,2019-09-30 11:32:00,True,Failure of the heating circuit pump,3.8,manufacturer 2
32,10,2017-12-18 19:40:00,no heat,"System in ""limiting of return temperature""",2017-12-18 12:00:00,2017-12-19 19:40:00.000,2015-10-13 12:39:00.873934,2017-12-04 19:40:00,True,unknown,unknown,manufacturer 2
38,10,2016-12-06 09:43:00,no DHW,"Differential pressure regulator needle valve too restricted, was opened.",,2016-12-07 09:43:00.000,2015-10-13 12:39:00.873934,2016-11-22 09:43:00,True,Incorrect setting of the differential pressure regulator,3.1,manufacturer 2
40,10,2016-09-29 12:04:00,no heat,"System in ""limiting of return temperature"". Settings must be checked.",,2016-09-30 12:04:00.000,2015-10-13 12:39:00.873934,2016-09-15 12:04:00,True,unknown,unknown,manufacturer 2
14,11,2019-12-06 12:59:00,leakage,Leak in screw connection on differential pressure regulator. Leak repaired.,,2019-12-09 22:35:58.000,,,False,Leakage,1.75,manufacturer 2
18,11,2019-11-26 09:57:00,no heat,Needle throttle valve readjusted.,2019-11-25 17:00:00,2019-11-26 19:05:18.000,2019-09-10 00:00:00.000000,2019-11-12 09:57:00,True,Incorrect setting of the differential pressure regulator,3.1,manufacturer 2
31,16,2018-05-19 10:57:00,other,The limit switch on motor valve 1 had not switched. Readjusted.,,2018-05-20 10:57:00.000,2016-06-20 11:00:00.124520,2018-05-05 10:57:00,True,Motorised control valve (primary side): Actuator defective,3.4,manufacturer 2
42,16,2016-05-23 01:00:36,Pressure fluctuations,Control system readjusted.,,2016-05-24 01:00:36.000,,,False,Control unit: Incorrect parameterisation,4,manufacturer 2
7,18,2020-02-04 08:33:00,leakage,Pressure gauge and screw connection sealed,,2020-02-05 08:33:00.000,,,False,Leakage,1.75,manufacturer 2
10,18,2020-01-21 10:53:00,leakage,Strainer was leaking. Gasket replaced.,,2020-02-05 08:33:00.000,2019-11-26 00:00:00.000000,2020-01-07 10:53:00,True,Leakage,1.75,manufacturer 2
29,19,2018-12-28 09:01:00,leakage,A defective copper line in the circulation area of the domestic hot water system was replaced and a 3-way valve was exchanged.,,2018-12-28 18:41:55.000,2016-04-26 11:30:00.106617,2018-12-14 09:01:00,True,Leakage,1.75,manufacturer 2
36,20,2017-01-11 09:00:00,no DHW,3-way valve and DHW pump defective and replaced.,,2017-01-12 09:00:00.000,2016-06-10 09:00:00.137978,2016-12-28 09:00:00,True,Failure of the domestic hot water storage charging pump,3.7,manufacturer 2
1,24,2020-03-18 11:11:00,no heat,Secondary side shut-off valve closed. The line has been put back into service.,,2020-03-20 04:48:52.000,2019-10-09 08:40:00.310497,2020-03-04 11:11:00,True,Shut-off valve closed,2.8,manufacturer 2
22,26,2019-11-15 09:00:00,noise,Needle throttle valve readjusted.,,2019-11-15 16:04:40.000,2019-08-20 12:50:00.163741,2019-11-01 09:00:00,True,Incorrect setting of the differential pressure regulator,3.1,manufacturer 2
6,35,2020-02-04 15:27:00,leakage,Corrosion. Gasket above the strainer replaced.,,2020-02-05 16:56:11.000,2019-10-10 00:00:00.000000,2020-01-21 15:27:00,True,Leakage,1.75,manufacturer 2
4,39,2020-02-28 10:38:00,Meter,Battery in heat meter replaced.,,2020-02-29 10:38:00.000,,,False,Failure of the thermal energy meter,3.2,manufacturer 2
26,39,2019-10-13 15:15:00,noise,Station checked and vented,,2019-10-14 15:15:00.000,2019-09-07 00:00:00.000000,2019-09-29 15:15:00,True,Air in the piping system,2.1,manufacturer 2
27,39,2019-10-03 12:17:00,leakage,Screw connection on the strainer leaking on the primary side. The screw connection was retightened.,,2019-10-04 11:46:44.000,,,False,Leakage,1.75,manufacturer 2
12,43,2020-01-10 12:35:00,no heat,No secondary flow. Air in the piping system. Strainer and magnetic separator have been cleaned.,2020-01-08 12:00:00,2020-01-13 11:26:40.000,2019-11-20 14:20:00.264168,2019-12-27 12:35:00,True,Strainer (secondary side): Poor flow rate,3.6,manufacturer 2
3,45,2020-03-09 12:12:00,no heat,Tavel time of the Motorised control valve (primary side) readjusted.,,2020-03-09 19:39:53.000,2019-12-04 12:40:00.331599,2020-02-24 12:12:00,True,Motorised control valve (primary side): Incorrect setting of the actuator travel time,3.3,manufacturer 2
15,50,2019-12-01 08:03:24,no heat,Heating pump readjusted and buffer tank loaded.,,2019-12-04 12:33:39.000,,,False,Failure of the domestic hot water storage charging pump,3.7,manufacturer 2
17,50,2019-11-28 10:00:15,no heat,Pump was on dry running/malfunction. Air in the system. Pump acknowledged and next week temperature short circuit will be installed.,,2019-12-04 12:33:39.000,,,False,Failure of the domestic hot water storage charging pump,3.7,manufacturer 2
20,50,2019-11-18 06:50:40,no heat,Control unit has hung up. Storage tank charging takes a very long time. Pump was malfunctioning and did not deliver.,2019-11-17 15:00:00,2019-12-04 12:33:39.000,2019-09-16 00:00:00.000000,2019-11-04 06:50:40,True,Failure of the domestic hot water storage charging pump,3.7,manufacturer 2
28,52,2019-02-20 09:16:00,no heat,The cap valve/shut-off valve of the diaphragm expansion vessel was replaced and the nitrogen pressure was readjusted.,,2019-03-05 19:08:22.062,2016-06-10 10:00:00.143868,2019-02-06 09:16:00,True,Low pre-charge at the expansion vessel,2.9,manufacturer 2
0,53,2020-03-23 15:19:00,Noise,Readjusted. New needle throttle valve installed. Pressure fluctuations are eliminated.,,2020-03-25 10:43:51.000,,,False,Incorrect setting of the differential pressure regulator,3.1,manufacturer 2
2,53,2020-03-16 10:00:00,Noise,Vented. Control line has been rattling. Needle throttle valve readjusted.,,2020-03-25 10:43:51.000,2019-11-15 20:11:09.000000,2020-03-02 10:00:00,True,Incorrect setting of the differential pressure regulator,3.1,manufacturer 2
21,53,2019-11-15 09:50:00,no heat,System pressure increased. Storage tank flow temperature increased. Pump pressure increased.,,2019-11-15 20:11:09.000,2019-08-29 12:30:00.164418,2019-11-01 09:50:00,True,Failure of the domestic hot water storage charging pump,3.7,manufacturer 2
8,59,2020-01-24 14:46:00,no heat,Heating pump regulation adjusted,,2020-01-25 14:46:00.000,2019-11-27 12:00:00.356912,2020-01-10 14:46:00,True,Failure of the heating circuit pump,3.8,manufacturer 2
